epoch,train_loss,valid_loss,accuracy,time
0,2.212784767150879,2.229273796081543,0.18630695343017578,01:17
1,2.2076354026794434,2.16278076171875,0.20717740058898926,01:18
2,2.2163331508636475,2.664370059967041,0.16950878500938416,01:18
3,2.1258552074432373,1.9314181804656982,0.28404173254966736,01:18
4,2.0352108478546143,2.0745222568511963,0.23262916505336761,01:18
5,1.9229590892791748,1.7405693531036377,0.3715958297252655,01:18
6,1.8433600664138794,1.6864594221115112,0.4008653461933136,01:17
7,1.7435089349746704,1.4986400604248047,0.47569355368614197,01:18
8,1.6724308729171753,1.553239345550537,0.4627131521701813,01:18
9,1.5733461380004883,1.2286685705184937,0.5741919279098511,01:18
10,1.5145379304885864,1.3862648010253906,0.5215067267417908,01:18
11,1.409163236618042,1.129846453666687,0.6067701578140259,01:19
12,1.3441624641418457,1.0829998254776,0.6194960474967957,01:19
13,1.2789791822433472,0.9484993815422058,0.6711631417274475,01:19
14,1.239352822303772,0.9319879412651062,0.6826164126396179,01:19
15,1.1743652820587158,0.8621642589569092,0.7149401903152466,01:18
16,1.156070351600647,0.828079342842102,0.7169763445854187,01:18
17,1.1291449069976807,0.8137674331665039,0.7228302359580994,01:18
18,1.107038974761963,0.7965737581253052,0.7302112579345703,01:18
19,1.071463942527771,0.7903861403465271,0.7337744832038879,01:18
