epoch,train_loss,valid_loss,accuracy,time
0,2.1327154636383057,2.1361536979675293,0.25808092951774597,01:18
1,2.13203501701355,1.9868680238723755,0.28709596395492554,01:18
2,2.063913583755493,2.425389051437378,0.18961568176746368,01:18
3,2.003880739212036,1.8289960622787476,0.33138203620910645,01:18
4,1.9091413021087646,2.6580591201782227,0.20488673448562622,01:18
5,1.791229009628296,1.6507622003555298,0.40341052412986755,01:18
6,1.6924456357955933,1.521977424621582,0.4586408734321594,01:17
7,1.6019221544265747,1.2842601537704468,0.535250723361969,01:18
8,1.5108219385147095,1.474334955215454,0.49503690004348755,01:18
9,1.4338715076446533,1.1756007671356201,0.5937897562980652,01:18
10,1.3651161193847656,1.3197389841079712,0.5571392178535461,01:18
11,1.259067177772522,0.9612445831298828,0.6762534976005554,01:18
12,1.1948407888412476,1.0008091926574707,0.6579282283782959,01:18
13,1.1385130882263184,0.876562237739563,0.7029778361320496,01:18
14,1.0849896669387817,0.8169599175453186,0.7284296154975891,01:18
15,1.0252447128295898,0.8068920373916626,0.726393461227417,01:18
16,0.9804913997650146,0.7455661296844482,0.7475184798240662,01:18
17,0.9554893374443054,0.7107884287834167,0.7671163082122803,01:19
18,0.9369890689849854,0.6873079538345337,0.7716976404190063,01:19
19,0.9330240488052368,0.7002527117729187,0.7666072845458984,01:20
